事業者,物件名,都道府県,住所,収容台数,時間帯料金(生),最大料金(生),営業時間,満空,緯度,経度,取得日時,URL
三井のリパーク,三井のリパーク都島友渕町２丁目第３駐車場,大阪府,大阪府大阪市都島区友渕町２丁目１２ー２１,6,08:00-20:00 40分220円 ; 20:00-08:00 60分110円,全日 入庫後24時間以内 900円,24時間,,34.715056211842,135.52964524921,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027411
三井のリパーク,三井のリパーク運河町第２駐車場,愛知県,愛知県名古屋市中川区運河町３－３,49,08:00-20:00 40分200円 ; 20:00-08:00 40分200円,全日 20:00～8:00以内 300円 ; 全日 入庫後24時間以内 900円,24時間,,35.159710110652,136.88539273675,2026-07-09T14:44:26.273Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027412
三井のリパーク,三井のリパーク四条畷駅南第２駐車場,大阪府,大阪府大東市南楠の里町１４ー２０,8,00:00-24:00 60分200円,全日 入庫後24時間以内 600円,24時間,,34.727228999749,135.63658303061,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027413
三井のリパーク,三井のリパーク大宮八条東駐車場,京都,京都府京都市南区大黒町２９６－１,8,08:00-20:00 40分220円 ; 20:00-08:00 60分110円 ; 08:00-20:00 40分220円 ; 20:00-08:00 60分110円,月～金 入庫後24時間以内 600円 ; 土日祝 入庫後24時間以内 1000円,24時間,,34.984606222051,135.74956735098,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027414
三井のリパーク,三井のリパーク四日市浜田町第３駐車場,三重県,三重県四日市市浜田町１４番３号,11,08:00-18:00 40分200円 ; 18:00-08:00 40分200円,全日 18:00～8:00以内 300円 ; 全日 入庫後24時間以内 600円,24時間,,34.96239046209,136.619582231,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027415
三井のリパーク,三井のリパーク豊玉中１丁目第２駐車場,東京都,東京都練馬区豊玉中１丁目６ー１１,9,08:00-18:00 25分220円 ; 18:00-08:00 60分110円,全日 18:00～8:00以内 300円 ; 全日 入庫後24時間以内 1300円,24時間,,35.728661643727,139.66197761253,2026-07-25T13:11:25.476Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027416
三井のリパーク,三井のリパーク札幌北２西２６駐車場,北海道,北海道札幌市中央区北二条西２６丁目２,15,08:00-20:00 60分330円 ; 20:00-08:00 60分330円,全日 20:00～8:00以内 400円 ; 全日 入庫後24時間以内 800円,24時間,,43.059398119995,141.31709704378,2026-07-20T13:54:21.371Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027417
三井のリパーク,三井のリパーク博多駅前２丁目駐車場,福岡県,福岡県福岡市博多区博多駅前２丁目１６ー１６,14,08:00-20:00 15分300円 ; 20:00-08:00 15分300円,全日 20:00～8:00以内 1000円,24時間,,33.590667736891,130.41745492041,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027418
三井のリパーク,三井のリパーク吹田垂水町３丁目第５駐車場,大阪府,大阪府吹田市垂水町３丁目２２ー３３,9,08:00-20:00 30分220円 ; 20:00-08:00 60分110円,全日 20:00～8:00以内 300円 ; 全日 入庫後24時間以内 900円,24時間,,34.760753637145,135.50303146625,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027419
三井のリパーク,三井のリパークＪＲ長尾駅前駐車場,大阪府,大阪府枚方市長尾元町６丁目２４,10,08:00-18:00 40分220円 ; 18:00-08:00 60分110円,全日 18:00～8:00以内 300円 ; 全日 入庫後24時間以内 500円,24時間,,34.827705673269,135.71155551059,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027420
三井のリパーク,三井のリパーク南海岸和田駅前第５駐車場,大阪府,大阪府岸和田市沼町２ー１,4,00:00-24:00 15分100円,全日 入庫後12時間以内 550円,24時間,,34.461300150276,135.37807785539,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027421
三井のリパーク,三井のリパーク西宮豊楽町第２駐車場,兵庫県,兵庫県西宮市豊楽町１１,19,08:00-20:00 30分220円 ; 20:00-08:00 60分110円,全日 入庫後24時間以内 1000円,24時間,,34.751843156808,135.32559105781,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027422
三井のリパーク,三井のリパーク甲子園九番町第３駐車場,兵庫県,兵庫県西宮市甲子園九番町７ー６,11,08:00-23:00 60分220円 ; 23:00-08:00 60分220円,通常日 8:00～23:00以内 400円 ; イベント開催日 8:00～23:00 20分/ 330円,24時間,,34.715858735802,135.3609758871,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027423
三井のリパーク,三井のリパーク札幌北１６西４駐車場,北海道,北海道札幌市北区北十六条西４丁目１ー３０,21,07:00-19:00 30分220円 ; 19:00-07:00 60分110円,全日 7:00～19:00以内 1000円 ; 全日 19:00～7:00以内 500円,24時間,,43.079688141837,141.347157502,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027424
三井のリパーク,三井のリパーク川崎久地４丁目駐車場,神奈川県,神奈川県川崎市高津区久地４丁目２５ー２８,18,08:00-20:00 40分200円 ; 20:00-08:00 60分100円,全日 入庫後24時間以内 600円,24時間,,35.610570316641,139.5944108836,2026-08-02T13:12:40.652Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027425
三井のリパーク,三井のリパークパークアクシス市川駐車場,千葉県,千葉県市川市市川１丁目２６ー６,3,00:00-24:00 12分300円,,24時間,,35.731337911296,139.90997355946,2026-07-15T07:57:34.448Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027426
三井のリパーク,三井のリパーク柏４丁目第６駐車場,千葉県,千葉県柏市柏４丁目２ー１３,7,00:00-24:00 15分300円,全日 入庫後6時間以内 1300円,24時間,,35.863413774543,139.97301502026,2026-07-31T08:40:48.144Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027428
三井のリパーク,三井のリパーク守谷駅西口第４駐車場,茨城県,茨城県守谷市中央４丁目２４ー４,11,00:00-24:00 60分200円,全日 入庫後24時間以内 800円,24時間,,35.94828837792,139.99297334354,2026-07-02T10:19:39.397Z,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027429
